形態素	IOB2	メンション	wikipediaタイトル	wikipediaページ
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
田村				
　				
智子				
君				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
大門				
実紀史				
君				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
清水				
　				
貴之				
君				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
　				
山本				
　				
太郎				
君				
　				
　				
　				
衆議				
院				
議員				
　				
　				
　				
　				
　				
　				
　				
発議				
者				
　				
　				
　				
　				
　				
　				
細田				
　				
博之				
君				
　				
　				
　				
　				
　				
　				
　				
発議				
者				
　				
　				
　				
　				
　				
　				
岩屋				
　				
　				
毅				
君				
　				
　				
　				
　				
　				
　				
　				
発議				
者				
　				
　				
　				
　				
　				
　				
西村				
　				
康				
稔				
君				
　				
　				
　				
　				
　				
　				
　				
発議				
者				
　				
　				
　				
　				
　				
　				
小沢				
　				
鋭				
仁君				
　				
　				
　				
　				
　				
　				
　				
発議				
者				
　				
　				
　				
　				
　				
　				
松浪				
　				
健太				
君				
　				
　				
　				
国務				
大臣				
　				
　				
　				
　				
　				
　				
　				
国務				
大臣				
　				
　				
　				
　				
　				
　				
　				
（				
内閣				
官房				
長官				
）				
　				
菅				
　				
　				
義偉				
君				
　				
　				
　				
事務				
局側				
　				
　				
　				
　				
　				
　				
　				
常任				
委員				
会				
専門				
　				
　				
　				
　				
　				
　				
　				
員				
　				
　				
　				
　				
　				
　				
　				
　				
藤田				
　				
昌三				
君				
　				
　				
　				
政府				
参考				
人				
　				
　				
　				
　				
　				
　				
　				
内閣				
官房				
内閣				
審				
　				
　				
　				
　				
　				
　				
　				
議				
官				
　				
　				
　				
　				
　				
　				
　				
中川				
　				
　				
真				
君				
　				
　				
　				
　				
　				
　				
　				
内閣				
府				
地方				
創生				
　				
　				
　				
　				
　				
　				
　				
推進				
事務				
局				
審議				
　				
　				
　				
　				
　				
　				
　				
官				
　				
　				
　				
　				
　				
　				
　				
　				
藤原				
　				
　				
豊				
君				
　				
　				
　				
　				
　				
　				
　				
警察				
庁				
生活				
安全				
　				
　				
　				
　				
　				
　				
　				
局				
長				
　				
　				
　				
　				
　				
　				
　				
種谷				
　				
良二				
君				
　				
　				
　				
　				
　				
　				
　				
法務				
大臣				
官房				
審				
　				
　				
　				
　				
　				
　				
　				
議				
官				
　				
　				
　				
　				
　				
　				
　				
加藤				
　				
俊治				
君				
　				
　				
　				
　				
　				
　				
　				
文部				
科学				
大臣				
官				
　				
　				
　				
　				
　				
　				
　				
房				
審議				
官				
　				
　				
　				
　				
　				
神山				
　				
　				
修				
君				
　				
　				
　				
　				
　				
　				
　				
厚生				
労働				
省				
社会				
　				
　				
　				
　				
　				
　				
　				
・				
援護				
局				
障害				
保				
　				
　				
　				
　				
　				
　				
　				
健				
福祉				
部				
長				
　				
　				
　				
　				
堀江				
　				
　				
裕				
君				
　				
　				
　				
　				
　				
　				
　				
観光				
庁				
審議				
官				
　				
　				
　				
瓦林				
　				
康人				
君				
　				
　				
　				
　				
─				
─				
─				
─				
─				
─				
─				
─				
─				
─				
─				
─				
─				
　				
　				
本日				
の				
会議				
に				
付し				
た				
案件				
○				
政府				
参考				
人				
の				
出席				
要求				
に				
関する				
件				
○				
特定	B	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%8B
複合	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%9B
観光	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%10B
施設	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%11B
区域	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%12B
の	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%13B
整備	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%14B
の	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%15B
推進	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%16B
に	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%17B
関する	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%18B
法	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%19B
律	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%20B
案	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%21B
（				
衆議				
院				
提出				
）				
　				
　				
　				
　				
─				
─				
─				
─				
─				
─				
─				
─				
─				
─				
─				
─				
─				
○				
委員				
長				
（				
難波				
奨				
二				
君				
）				
　				
ただいま				
から				
内閣				
委員				
会				
を				
開会				
いたし				
ます				
。				
　				
委員				
の				
異動				
に				
つい				
て				
御				
報告				
いたし				
ます				
。				
　				
本日				
まで				
に				
、				
神本				
美恵子				
さん				
、				
浅田				
均				
君				
、				
青山				
繁晴				
君				
、				
進藤				
金				
日子				
君				
、				
田村				
智子				
さん				
及び				
小野田				
紀美				
さん				
が				
委員				
を				
辞任				
さ				
れ				
、				
その				
補欠				
と				
し				
て				
森本				
真治				
君				
、				
清水				
貴之				
君				
、				
佐藤				
啓				
君				
、				
山東				
昭子				
さん				
、				
大門				
実紀史				
君				
及び				
こ				
やり				
隆史				
君				
が				
選任				
さ				
れ				
まし				
た				
。				
　				
　				
　				
　				
─				
─				
─				
─				
─				
─				
─				
─				
─				
─				
─				
─				
─				
○				
委員				
長				
（				
難波				
奨				
二				
君				
）				
　				
政府				
参考				
人				
の				
出席				
要求				
に				
関する				
件				
に				
つい				
て				
お				
諮り				
いたし				
ます				
。				
　				
特定	B	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%21B
複合	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%21B
観光	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%21B
施設	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%21B
区域	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%21B
の	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%21B
整備	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%21B
の	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%21B
推進	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%21B
に	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%21B
関する	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%21B
法律	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%21B
案	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%21B
の				
審査				
の				
ため				
、				
本日				
の				
委員				
会				
に				
、				
理事				
会				
協議				
の				
とおり				
、				
政府				
参考				
人				
と				
し				
て				
内閣				
官房				
内閣				
審議				
官				
中川				
真				
君				
外				
六				
名				
の				
出席				
を				
求め				
、				
その				
説明				
を				
聴取				
する				
こと				
に				
御				
異議				
ござい				
ませ				
ん				
か				
。				
　				
　				
　				
〔				
「				
異議				
なし				
」				
と				
呼ぶ				
者				
あり				
〕				
○				
委員				
長				
（				
難波				
奨				
二				
君				
）				
　				
御				
異議				
ない				
と				
認め				
、				
さよう				
決定				
いたし				
ます				
。				
　				
　				
　				
　				
─				
─				
─				
─				
─				
─				
─				
─				
─				
─				
─				
─				
─				
○				
委員				
長				
（				
難波				
奨				
二				
君				
）				
　				
特定	B	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%21B
複合	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%21B
観光	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%21B
施設	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%21B
区域	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%21B
の	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%21B
整備	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%21B
の	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%21B
推進	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%21B
に	I	特定複合観光施設区域の整備の推進に関する法律案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%21B
